server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"Comcast - Houston, TX","1763","152.137","7.896","N/A","274569","294452","3258970","4076058","https://www.speedtest.net/result/c/f3c6fdd1-cec9-4715-bf9a-787c4a4966ee"
"PS Lightwave, Inc - Houston, TX","25206","87.944","16.536","0","56693","63759","714130","720314","https://www.speedtest.net/result/c/73e889c8-38a4-4038-8f8d-59fb56b02198"
"PS Lightwave, Inc - Houston, TX","25206","49.962","4.525","0","63812","60794","695890","902590","https://www.speedtest.net/result/c/fa41a162-4691-49cd-8a2d-83748d4e8b02"
"fdcservers.net - Houston, TX","26652","66.947","8.705","N/A","63300","62742","673444","708292","https://www.speedtest.net/result/c/0e8da4f3-16c5-4281-8e5c-dbb127b7ad85"
"ICTX WaveMedia - Houston, TX","7340","100.158","18.526","0","399398","305449","2935140","4444440","https://www.speedtest.net/result/c/f03dc7ea-3732-4f3e-9d90-53f3f3d1bcd8"
"Tachus Fiber Internet - Kingwood, TX","31015","81.946","15.384","0","61058","65702","777010","899330","https://www.speedtest.net/result/c/7e228777-6867-46a9-b4df-453046c931c6"
"CenturyLink - Houston, TX","10151","159.794","0.107","0","418056","281255","3143218","3545594","https://www.speedtest.net/result/c/29e9ad9d-338d-4379-9557-991143c08ced"
"fdcservers.net - Houston, TX","26652","91.936","48.79","N/A","63024","64126","689753","716104","https://www.speedtest.net/result/c/7d18cb92-da8a-4ec1-b838-7cdc16e416b8"
"Tachus Fiber Internet - Spring, TX","7306","79.005","13.227","0","950392","296668","11773300","1395560","https://www.speedtest.net/result/c/603a230c-aafd-4601-a661-a3c50fe3f367"
"fdcservers.net - Houston, TX","26652","88.978","11.449","N/A","61734","62404","647660","811034","https://www.speedtest.net/result/c/6b8e27d6-9a00-4b5c-af64-6c200e830989"
"fdcservers.net - Houston, TX","26652","151.123","8.38","N/A","62704","65736","606630","841958","https://www.speedtest.net/result/c/b32e5078-c985-4fec-a83f-041f74815c19"
"ICTX WaveMedia - Houston, TX","7340","157.172","4.646","0","188253","271493","1783132","1456090","https://www.speedtest.net/result/c/6087168f-ff6a-4a0b-a0f9-4eb7182eb4d4"
"PS Lightwave, Inc - Houston, TX","25206","102.759","20.302","0","61391","63306","662323","833690","https://www.speedtest.net/result/c/19b57a2e-314f-4a4c-a650-0e2974e1f6ad"
"fdcservers.net - Houston, TX","26652","74.918","26.307","N/A","62624","61645","736486","660452","https://www.speedtest.net/result/c/ab367f44-1117-4659-adfd-ba1b5def3d90"
"Comcast - Houston, TX","1763","77.975","25.955","N/A","670709","397881","7548684","5697574","https://www.speedtest.net/result/c/806b9eb5-887d-4ac3-9c67-a3b0fcbe5fb7"
"fdcservers.net - Houston, TX","26652","136.932","25.542","N/A","63472","63614","898101","706914","https://www.speedtest.net/result/c/35c363ae-df39-4ab7-afa7-e4a83dcf7e8f"
"PS Lightwave, Inc - Houston, TX","25206","73.955","5.637","0","63336","62341","817142","717938","https://www.speedtest.net/result/c/338d7c9d-c27f-4edc-9237-638f157e848e"
"En-Touch Systems Inc. - Houston, TX","11772","96.999","37.265","0","696857","382029","8106774","2035696","https://www.speedtest.net/result/c/b5a5a8ee-43a4-48ec-a097-0a6e701ec3e1"
"ICTX WaveMedia - Houston, TX","7340","85.994","14.035","0","966454","435021","13943982","4790926","https://www.speedtest.net/result/c/677c8706-9c32-48c3-8e81-13bfbf7f40ec"
"fdcservers.net - Houston, TX","26652","93.979","38.669","N/A","63676","63524","811226","722072","https://www.speedtest.net/result/c/caffad8b-29d0-48e3-ad73-01faa7bb0b00"
"Whitesky Communications LLC - Houston, TX","8049","114.997","22.505","0","60588","62127","779669","753310","https://www.speedtest.net/result/c/82cbb2a0-6e3d-406c-8f0a-726c38c75b80"
"PS Lightwave, Inc - Houston, TX","25206","74.95","16.651","0","62569","61668","723450","726976","https://www.speedtest.net/result/c/909bb6a3-973c-4a92-9945-8ce3676297bf"
"En-Touch Systems Inc. - Houston, TX","11772","119.797","30.037","0","526757","286557","5805514","1854788",""
"Comcast - Houston, TX","1763","159.005","1.004","N/A","366663","293594","4019154","3458182","https://www.speedtest.net/result/c/a22a692a-2d33-4768-9625-6838b7b1fcc2"
